TymeBreathRate,tidal_volume,TymeVentilation
26.2,264.2,72.41
26.13,264.5,72.42
26.07,264.7,72.43
26.03,264.5,72.31
25.99,264.1,72.17
25.96,263.9,72.06
25.91,266.2,72.67
25.84,268.2,73.03
25.76,269.9,73.09
25.74,271.0,73.11
25.81,270.9,73.06
25.89,270.8,73.01
26.07,271.9,73.74
26.28,273.3,74.66
26.47,274.3,74.85
26.66,275.1,74.82
26.86,275.7,74.77
27.05,275.9,74.67
27.25,276.1,74.56
27.33,275.7,74.5
27.42,275.4,74.43
27.52,275.8,74.62
27.63,277.1,75.05
27.7,277.7,75.3
27.74,277.6,75.4
27.69,276.9,75.61
27.66,276.4,75.86
27.67,276.8,76.27
27.7,277.1,76.6
27.76,277.1,76.77
27.83,277.0,76.93
27.89,277.1,76.92
27.94,277.1,76.8
27.99,277.2,76.67
27.99,276.3,76.49
27.99,275.4,76.3
27.99,274.7,76.39
27.99,274.7,77.12
28.0,275.1,77.8
28.02,277.9,78.17
28.03,279.4,78.38
28.03,279.7,78.41
28.01,279.7,78.44
27.96,279.2,78.45
27.91,278.7,78.46
27.82,280.0,78.65
27.72,281.5,78.8
27.67,280.7,78.59
27.62,279.9,78.38
27.57,279.9,78.26
27.51,280.5,78.2
27.49,280.6,78.14
27.5,280.0,78.06
27.52,279.6,78.01
27.56,280.9,78.16
27.6,282.4,78.34
27.62,285.8,78.71
27.63,287.5,78.73
27.64,285.8,78.0
27.65,284.6,77.79
27.68,284.0,78.35
27.71,283.4,78.9
27.62,282.7,78.72
27.54,282.1,78.59
27.45,282.4,78.82
27.36,282.6,79.05
27.29,282.3,79.14
27.25,280.5,78.97
27.21,279.2,78.85
27.14,279.5,78.97
27.07,280.0,78.59
26.99,280.7,78.03
26.92,281.3,77.47
26.82,277.7,76.48
26.73,274.2,75.54
26.58,273.0,75.64
26.44,271.7,75.72
26.39,270.9,75.3
26.34,270.1,74.89
26.28,269.3,74.55
26.23,268.6,74.5
26.18,268.0,74.44
26.16,268.2,74.47
26.13,268.5,74.5
26.12,268.5,74.54
26.19,267.9,74.55
26.26,267.2,74.56
26.29,266.9,74.33
26.33,266.6,74.04
26.35,266.6,73.87
26.37,267.1,73.88
26.38,267.6,73.9
26.41,267.8,73.8
26.45,268.0,73.67
26.49,268.3,73.73
26.54,269.5,73.78
26.58,270.8,73.84
26.65,271.8,73.9
26.74,272.6,73.97
26.83,273.3,74.03
26.98,271.1,73.74
27.12,269.0,73.46
27.28,268.5,73.38
27.44,268.0,73.29
27.54,267.0,73.12
27.62,265.7,72.91
27.7,264.5,72.69
27.79,263.4,72.53
27.91,262.5,72.44
28.04,262.2,72.61
28.17,262.3,72.98
28.23,261.5,72.86
28.28,260.8,72.71
28.23,260.9,72.79
28.18,261.0,72.89
28.11,260.7,72.95
28.04,260.0,72.98
27.96,259.7,73.14
27.81,260.7,73.78
27.71,261.5,74.25
27.68,262.1,74.46
27.66,262.6,74.66
27.68,262.2,74.61
27.72,261.2,74.42
27.85,264.0,75.01
27.98,267.1,75.68
28.12,268.3,75.47
28.28,267.9,74.59
28.42,267.7,74.0
28.49,267.9,74.0
28.57,268.1,74.0
28.62,268.3,74.01
28.62,268.5,74.03
