TymeBreathRate,tidal_volume,TymeVentilation
26.11,248.6,67.08
26.12,249.4,67.21
26.13,250.1,67.35
26.1,250.3,67.34
26.07,250.3,67.32
26.04,250.4,67.29
26.0,250.5,67.27
25.88,250.2,67.88
25.75,249.8,68.57
25.75,250.5,68.98
25.76,251.2,69.38
25.82,250.8,69.55
25.93,249.3,69.53
26.04,247.9,69.5
26.14,247.7,69.74
26.23,247.6,69.99
26.33,247.4,70.24
26.42,247.3,70.18
26.51,247.3,70.09
26.62,247.2,70.18
26.75,247.3,70.53
26.89,247.3,70.87
27.02,247.5,71.28
27.15,248.0,71.77
27.28,248.4,72.26
27.39,248.6,72.48
27.53,248.9,72.66
27.78,249.2,72.78
28.02,248.7,72.83
28.23,246.8,72.7
28.32,245.4,72.25
28.41,243.9,71.79
28.67,244.6,71.88
29.04,246.8,72.35
29.42,249.2,73.21
29.74,250.9,73.73
30.0,251.7,73.81
30.26,252.5,73.88
30.66,251.5,74.04
31.11,249.7,74.25
31.55,248.8,74.23
31.96,248.2,74.22
32.12,248.5,74.37
32.29,248.9,74.52
32.44,249.8,74.82
32.59,251.6,75.28
32.68,251.8,75.66
32.74,251.3,75.96
32.75,250.7,76.14
32.71,249.5,76.22
32.62,247.7,76.2
32.56,248.2,76.7
32.51,249.0,77.29
32.5,249.0,76.9
32.49,249.0,76.49
32.38,248.4,76.28
32.28,247.9,76.07
32.21,246.8,75.73
32.16,245.8,75.4
32.1,245.5,75.16
31.99,246.6,75.17
31.82,249.1,75.46
31.71,249.4,75.09
31.6,249.8,74.72
31.48,249.6,74.51
31.34,249.0,74.41
31.2,248.4,74.31
30.99,249.7,74.48
30.78,251.1,74.63
30.58,250.9,74.18
30.4,250.6,73.79
30.29,249.4,74.02
30.19,248.4,74.26
30.11,251.0,74.73
30.03,253.5,75.2
29.93,255.2,75.33
29.79,255.4,74.84
29.62,255.7,74.85
29.4,256.0,75.34
29.22,256.4,75.6
29.05,256.7,75.66
28.86,257.6,75.65
28.63,259.5,75.51
28.43,259.9,75.23
28.29,258.3,74.76
28.16,256.7,74.29
27.99,254.1,73.73
27.81,251.5,73.32
27.68,255.6,75.81
27.6,258.8,77.21
27.55,261.5,77.86
27.5,264.1,78.49
27.43,262.6,77.36
27.35,261.1,76.24
27.33,259.9,75.43
27.33,258.8,74.81
27.35,257.8,74.29
27.48,257.3,74.27
27.61,256.8,74.24
27.62,258.2,74.47
27.61,259.7,74.73
27.64,261.4,74.86
27.71,263.3,74.85
27.78,265.1,74.84
28.07,267.0,75.07
28.25,267.6,75.15
28.38,267.8,75.17
28.52,268.0,75.2
28.66,268.0,75.27
28.81,267.9,75.34
29.16,267.1,75.28
29.4,266.1,75.05
29.54,265.3,74.79
29.61,265.2,74.84
29.64,265.6,75.06
29.67,266.0,75.28
29.66,266.3,75.49
29.63,267.0,75.84
29.53,270.2,76.8
29.41,273.0,76.77
29.32,275.0,76.41
29.29,276.0,76.62
29.25,276.9,76.78
29.22,277.4,76.67
29.18,277.9,76.56
29.12,277.9,76.62
29.06,277.8,76.75
29.0,277.6,76.87
28.9,278.6,77.16
28.75,280.6,77.63
28.66,281.4,77.83
28.71,279.8,77.51
28.75,278.1,77.19
28.75,277.3,77.19
28.73,276.8,77.26
28.71,276.2,77.33
28.63,276.1,77.39
28.47,276.5,77.44
28.31,275.9,77.3
28.12,273.4,76.79
27.94,270.8,76.27
27.72,268.2,75.75
27.47,265.5,75.23
27.09,265.8,75.43
26.74,266.2,75.67
26.56,266.2,75.67
26.39,266.2,75.67
26.21,265.7,75.74
26.11,265.4,75.87
26.15,266.3,76.07
26.19,267.1,76.28
26.35,269.9,77.2
26.55,273.4,78.38
26.71,273.5,77.64
26.88,273.4,76.75
27.05,273.3,75.86
27.23,272.0,75.15
27.42,269.8,74.58
27.61,267.9,74.09
27.8,267.2,74.06
28.0,266.6,74.03
28.2,265.9,74.04
28.59,264.4,74.79
28.91,263.4,75.42
29.11,263.4,75.85
29.31,263.4,76.28
29.49,263.6,76.52
29.67,263.9,76.66
29.83,263.7,77.02
29.97,263.2,77.31
30.09,259.7,76.76
30.18,257.0,76.49
30.23,255.2,76.62
30.3,255.2,77.04
30.4,257.6,77.81
30.76,259.8,78.46
31.06,261.0,78.5
31.33,261.8,78.32
31.62,262.2,77.97
31.92,262.6,77.56
32.22,262.2,77.14
32.49,260.3,76.73
32.71,258.7,76.48
32.85,257.6,76.44
32.92,256.8,76.65
32.97,256.1,76.93
33.02,255.5,77.19
33.08,255.3,77.07
33.08,255.1,77.16
32.99,254.8,77.56
32.87,254.5,77.78
32.71,253.9,77.69
32.62,250.7,77.15
32.51,249.0,76.88
32.35,250.3,77.11
32.19,251.6,77.34
31.99,253.4,77.48
31.78,255.3,77.6
31.6,256.1,77.0
31.42,256.5,76.11
31.34,259.0,76.7
31.3,261.6,77.35
31.28,264.2,77.98
31.26,265.9,78.06
31.24,266.5,77.59
31.22,267.1,77.12
31.17,266.4,76.82
