TymeBreathRate,tidal_volume,TymeVentilation
27.25,192.0,51.72
27.2,192.7,51.87
27.17,193.4,51.99
27.22,193.9,51.91
27.21,193.3,51.82
27.16,191.5,51.74
27.09,191.2,51.55
27.01,192.0,51.3
26.93,192.4,51.03
26.92,189.2,50.48
26.91,185.9,49.93
26.83,185.1,50.11
26.72,185.8,50.7
26.6,186.0,50.98
26.46,185.5,50.86
26.33,185.3,50.83
26.19,185.7,51.07
26.12,186.2,51.31
26.17,186.7,51.52
26.23,187.3,51.73
26.28,187.9,51.93
26.37,189.1,51.93
26.46,190.4,51.93
26.5,191.0,52.06
26.53,191.7,52.18
26.57,192.4,52.31
26.63,192.7,52.41
26.77,192.0,52.47
26.91,191.3,52.52
27.16,191.2,52.89
27.41,191.1,53.17
27.63,191.0,53.1
27.84,190.9,53.02
28.21,191.9,53.08
28.48,191.9,53.11
28.6,190.4,53.05
28.73,189.0,53.0
28.98,188.4,53.03
29.16,188.3,53.17
29.31,188.6,53.36
29.4,189.7,53.51
29.47,191.1,53.64
29.54,192.5,53.77
29.7,192.5,53.7
29.93,192.2,53.59
30.36,191.1,53.5
30.67,190.9,53.6
30.97,190.8,53.7
31.1,192.1,53.71
31.23,193.4,53.73
31.34,193.5,53.56
31.43,192.4,53.2
31.47,192.0,53.11
31.48,192.2,53.25
31.48,192.4,53.39
31.49,192.6,53.53
31.46,190.7,53.39
31.44,188.7,53.24
31.23,188.1,53.19
31.03,187.6,53.0
30.83,187.3,52.51
30.73,187.5,52.36
30.64,187.9,52.26
30.56,188.3,52.17
30.44,188.3,51.94
30.23,187.3,51.28
30.07,186.6,50.86
29.95,186.3,50.67
29.82,186.0,50.48
29.56,185.4,50.09
29.32,186.6,49.93
29.2,190.9,50.29
29.13,193.2,50.67
29.09,193.9,51.08
29.05,194.7,51.48
29.02,195.4,51.88
28.93,199.2,52.69
28.83,203.4,53.56
28.66,204.4,53.1
28.49,204.6,52.32
28.23,205.5,52.3
27.95,206.4,52.42
27.77,206.6,52.55
27.6,206.6,52.69
27.43,206.6,52.83
27.23,207.9,52.94
27.02,209.6,53.04
26.82,211.3,53.14
26.61,211.9,53.53
26.41,212.4,53.92
26.18,212.0,54.02
25.9,210.3,53.76
25.65,208.9,53.57
25.61,210.0,53.81
25.56,211.2,54.05
25.51,212.8,54.06
25.47,214.6,53.96
25.41,216.2,53.87
25.29,216.4,53.87
25.18,216.6,53.87
25.06,216.8,53.87
24.9,216.3,53.82
24.71,215.7,53.75
24.69,214.6,53.5
24.74,213.3,53.18
24.76,212.5,53.0
24.7,213.5,53.3
24.64,214.3,53.51
24.6,214.4,53.37
24.56,214.5,53.23
24.51,214.6,53.1
24.58,212.9,52.77
24.69,210.6,52.39
24.76,210.1,52.25
24.81,210.2,52.2
24.87,210.3,52.14
24.92,210.3,52.08
24.98,210.4,52.02
24.97,212.3,52.29
24.98,214.4,52.6
25.09,214.9,52.62
25.2,215.5,52.63
25.43,214.2,52.4
25.65,212.8,52.19
25.71,212.9,52.51
25.77,213.0,52.84
25.84,213.1,53.16
25.94,214.2,53.43
26.08,216.7,53.65
26.29,219.7,54.19
26.59,223.4,55.15
26.64,223.6,55.07
26.65,223.3,54.84
26.64,223.1,54.68
26.6,222.9,54.59
26.56,222.8,54.49
26.54,222.2,54.47
26.56,220.9,54.58
26.57,221.0,54.78
26.59,221.6,55.02
26.51,221.7,55.1
26.39,221.5,55.1
26.31,222.1,55.14
26.36,224.7,55.28
26.39,226.0,55.19
26.4,225.3,54.8
26.41,224.7,54.39
26.36,223.3,53.72
26.3,221.9,53.05
26.25,220.5,52.39
26.16,219.5,51.96
26.04,218.7,51.81
25.92,218.0,51.66
25.84,218.4,51.76
25.79,219.6,52.02
25.74,220.7,52.29
25.55,221.0,52.43
25.35,221.2,52.56
25.18,221.5,52.44
25.03,221.9,52.21
24.87,222.2,51.98
24.72,219.1,51.25
24.62,217.8,50.85
24.53,217.6,50.65
24.45,217.5,50.46
24.37,217.4,50.27
24.18,216.7,49.86
23.99,216.0,49.45
23.83,215.9,49.59
23.68,216.0,49.87
23.52,216.1,50.15
23.4,215.5,50.33
23.3,214.5,50.43
23.2,213.5,50.53
23.06,212.8,50.44
22.81,212.9,49.94
22.64,212.4,49.62
22.51,211.6,49.38
22.4,210.6,49.2
22.33,209.3,49.12
22.27,208.0,49.03
22.18,208.5,49.49
22.09,209.0,49.95
22.0,209.5,50.41
21.92,210.1,50.64
21.84,210.8,50.75
21.75,211.5,50.87
21.67,212.1,50.98
21.59,212.8,51.09
21.44,213.0,51.54
21.37,213.4,51.9
21.36,214.0,52.19
21.35,214.5,52.47
21.41,214.6,52.58
21.52,214.4,52.54
21.64,214.2,52.49
21.8,214.9,52.64
22.05,217.6,53.15
22.2,217.8,53.09
22.34,217.6,52.93
22.48,217.4,52.76
22.62,217.1,52.59
22.83,216.8,52.43
23.04,216.4,52.26
23.25,216.1,52.1
23.47,215.1,51.89
23.72,213.4,51.63
23.98,211.7,51.37
24.23,210.0,51.11
24.64,207.7,50.38
25.2,205.9,50.03
26.02,204.9,50.41
26.49,204.9,50.86
26.96,204.9,51.3
27.13,206.2,51.4
27.3,207.5,51.5
27.46,208.8,51.6
27.65,209.0,51.51
27.84,208.7,51.32
28.13,211.1,51.23
28.33,208.0,51.35
28.48,206.7,51.55
28.6,206.8,51.82
28.73,206.8,52.08
28.81,208.2,52.47
28.87,210.4,52.93
28.96,208.5,52.43
29.05,206.5,51.93
29.14,204.7,51.56
29.2,203.8,52.0
29.26,202.9,52.44
29.29,202.5,52.85
29.29,203.0,53.23
29.28,203.5,53.6
29.28,203.9,53.98
29.27,204.4,54.35
29.22,204.7,54.56
29.07,204.6,54.44
28.87,205.3,54.5
28.57,207.4,54.89
28.28,208.7,55.11
27.97,206.8,54.66
27.66,204.8,54.22
27.35,205.6,54.3
27.05,207.4,54.56
26.75,209.1,54.83
25.98,207.2,53.44
25.36,205.5,52.44
24.81,204.0,51.64
24.7,203.9,51.85
24.66,204.1,52.22
24.62,204.2,52.59
24.63,205.0,52.93
24.71,206.7,53.21
24.78,208.5,53.5
24.85,210.1,53.71
24.92,211.7,53.85
24.98,213.2,54.0
25.08,212.8,52.68
25.15,212.9,51.9
25.19,213.7,51.89
25.22,214.5,51.88
25.26,215.3,51.87
25.15,215.4,51.82
25.03,215.3,51.76
24.91,215.3,51.71
24.53,214.4,51.74
24.02,212.5,51.54
23.56,210.5,51.16
23.44,209.5,50.91
23.31,208.6,50.66
23.19,207.6,50.41
23.08,207.0,50.39
22.98,206.5,50.47
22.87,206.0,50.54
22.77,205.4,50.62
22.69,205.5,50.74
22.62,205.6,50.86
22.54,205.7,50.99
22.47,205.9,51.11
22.39,206.7,51.28
22.31,207.5,51.45
22.24,208.2,51.62
22.22,209.1,52.19
22.23,210.0,52.94
22.25,210.9,53.7
22.27,212.7,54.39
22.3,215.4,55.03
22.34,217.9,55.59
22.52,216.6,54.78
22.68,214.4,53.94
22.75,209.5,53.01
22.75,209.4,53.02
22.73,210.2,53.2
22.72,211.0,53.38
22.77,210.6,53.53
22.84,210.0,53.67
22.9,209.4,53.77
23.0,209.0,53.48
23.1,208.5,53.19
23.16,208.1,53.0
23.19,207.7,52.94
23.23,207.3,52.88
23.26,206.9,52.81
23.66,204.0,52.57
24.14,201.4,52.47
24.57,203.2,53.29
25.01,204.9,54.11
25.33,206.7,53.84
25.65,208.4,53.54
25.76,208.2,52.67
25.83,207.6,51.72
25.91,207.2,51.05
25.99,207.6,51.71
26.06,206.6,52.03
26.12,204.2,51.95
26.16,204.7,52.3
26.19,205.8,52.75
26.22,207.0,53.2
26.33,207.4,54.27
26.41,207.6,54.72
26.48,207.8,55.09
26.56,208.0,55.45
26.64,208.3,55.84
26.81,209.5,56.67
26.94,210.5,57.26
26.94,210.9,57.12
26.95,211.3,56.97
26.96,211.8,56.82
26.88,211.1,56.59
26.79,210.2,56.34
26.7,210.0,56.33
26.62,210.0,56.43
26.5,210.3,56.55
26.35,210.8,56.68
26.23,210.4,56.71
26.15,208.5,56.56
26.07,206.7,56.41
25.98,205.3,56.34
25.83,205.2,56.48
25.69,205.8,56.59
25.57,208.6,56.52
25.57,209.8,56.51
25.64,210.2,56.53
25.7,210.5,56.55
25.81,210.7,56.62
26.01,210.4,56.75
26.21,210.1,56.87
26.43,211.4,57.16
26.67,214.0,57.59
26.87,216.0,57.83
27.0,217.2,57.81
27.14,218.4,57.8
27.16,217.3,57.61
27.16,215.9,57.39
27.16,214.2,57.01
27.15,210.8,55.52
27.08,210.7,55.79
26.97,211.7,56.34
26.83,213.0,56.8
26.77,214.0,57.32
26.72,214.9,57.84
26.68,215.7,58.32
26.78,214.8,58.13
26.87,213.9,57.94
26.92,213.4,57.91
26.9,213.5,58.07
26.87,213.7,58.23
26.82,214.8,58.4
26.77,215.9,58.58
26.76,216.2,58.69
26.83,214.4,58.66
26.9,212.9,58.74
27.01,213.8,60.04
27.07,214.3,60.7
