skin_temperature,HeatStrainIndex,hrv
31.05,0.7,446:456
31.1,0.7,456:456
31.1,0.7,910
31.1,0.7,458:453:456
31.1,0.7,458:456
31.1,0.7,451:462
31.1,0.7,460:455
31.1,0.7,917:460
31.1,0.7,456:451
31.1,0.7,453:458
31.1,0.7,460:458
31.1,0.7,453:451
31.1,0.7,460:456
31.1,0.7,451:453:458
31.15,0.7,458:458
31.15,0.7,453:458
31.1,0.7,456:458
31.15,0.7,455:453
31.15,0.7,1371
31.15,0.7,455:462
31.15,0.7,458:458
31.15,0.7,451:462
31.15,0.7,462:456
31.15,0.7,463:462:460
31.15,0.7,453:465
31.15,0.7,465:458
31.15,0.7,469:467
31.15,0.7,460:469
31.15,0.7,467
31.15,0.7,936:463
31.15,0.7,925:469
31.15,0.7,465
31.2,0.7,476:474:470
31.15,0.7,469:472
31.2,0.7,
31.2,0.7,1394:467
31.2,0.7,467:462
31.2,0.7,460:465
31.2,0.7,463:460:460
31.2,0.7,458:455
31.2,0.7,458:451
31.2,0.7,456:437:458
31.2,0.7,456
31.2,0.7,460:448:444
31.2,0.7,456:453
31.25,0.7,449:444
31.2,0.7,907:451
31.25,0.7,446:455
31.2,0.7,453:449
31.2,0.7,
31.25,0.7,1804
31.25,0.8,451:451
31.25,0.8,451:455:456
31.25,0.8,451:448
31.25,0.7,458:456
31.25,0.7,453:451
31.25,0.7,456:458
31.25,0.7,910
31.25,0.7,458:456:453
31.25,0.7,449:456
31.25,0.7,458
31.25,0.7,907:453
31.25,0.7,453:453:449
31.25,0.8,458
31.3,0.8,907
31.25,0.7,901:456
31.3,0.8,458:456
31.25,0.8,453:460:456
31.3,0.8,451:458
31.3,0.8,456:453
31.3,0.8,910
31.3,0.8,458:456
31.3,0.8,453:460:456
31.3,0.8,460
31.3,0.8,916:460
31.3,0.8,460:460
31.3,0.8,458:465
31.3,0.8,465:465:460
31.3,0.8,467:462
31.3,0.8,458
31.3,0.8,462:921
31.3,0.8,462:456
31.3,0.8,465:460
31.3,0.8,451:462
31.3,0.8,460:458:453
31.3,0.8,460:455
31.3,0.8,462:456
31.3,0.8,456:458
31.3,0.8,460:458
31.3,0.8,456:456:462
31.3,0.8,460:458
31.3,0.8,460:463
31.35,0.8,462:460
31.3,0.8,458:462
31.35,0.8,460:915
31.35,0.8,463:462
31.3,0.8,462:458
31.3,0.8,465:463
31.3,0.8,458:463
31.35,0.8,460:458
31.35,0.8,453:458
31.35,0.8,456:462
31.35,0.8,462:456:458
31.3,0.8,453
31.3,0.8,924
31.3,0.8,915:453:456
31.35,0.8,456:453
